season,round,race_name,circuit_name,country,is_sprint_weekend
2022,1,Bahrain Grand Prix,Sakhir,Bahrain,0
2022,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,0
2022,3,Australian Grand Prix,Melbourne,Australia,0
2022,4,Emilia Romagna Grand Prix,Imola,Italy,1
2022,5,Miami Grand Prix,Miami,USA,0
2022,6,Spanish Grand Prix,Barcelona,Spain,0
2022,7,Monaco Grand Prix,Monte Carlo,Monaco,0
2022,8,Azerbaijan Grand Prix,Baku,Azerbaijan,0
2022,9,Canadian Grand Prix,Montreal,Canada,0
2022,10,British Grand Prix,Silverstone,UK,0
2022,11,Austrian Grand Prix,Spielberg,Austria,1
2022,12,French Grand Prix,Le Castellet,France,0
2022,13,Hungarian Grand Prix,Budapest,Hungary,0
2022,14,Belgian Grand Prix,Spa,Belgium,0
2022,15,Dutch Grand Prix,Zandvoort,Netherlands,0
2022,16,Italian Grand Prix,Monza,Italy,0
2022,17,Singapore Grand Prix,Marina Bay,Singapore,0
2022,18,Japanese Grand Prix,Suzuka,Japan,0
2022,19,United States Grand Prix,Austin,USA,0
2022,20,Mexico City Grand Prix,Mexico City,Mexico,0
2022,21,São Paulo Grand Prix,São Paulo,Brazil,1
2022,22,Abu Dhabi Grand Prix,Abu Dhabi,UAE,0
2023,1,Bahrain Grand Prix,Sakhir,Bahrain,0
2023,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,0
2023,3,Australian Grand Prix,Melbourne,Australia,0
2023,4,Azerbaijan Grand Prix,Baku,Azerbaijan,1
2023,5,Miami Grand Prix,Miami,USA,0
2023,6,Monaco Grand Prix,Monte Carlo,Monaco,0
2023,7,Spanish Grand Prix,Barcelona,Spain,0
2023,8,Canadian Grand Prix,Montreal,Canada,0
2023,9,Austrian Grand Prix,Spielberg,Austria,1
2023,10,British Grand Prix,Silverstone,UK,0
2023,11,Hungarian Grand Prix,Budapest,Hungary,0
2023,12,Belgian Grand Prix,Spa,Belgium,1
2023,13,Dutch Grand Prix,Zandvoort,Netherlands,0
2023,14,Italian Grand Prix,Monza,Italy,0
2023,15,Singapore Grand Prix,Marina Bay,Singapore,0
2023,16,Japanese Grand Prix,Suzuka,Japan,0
2023,17,Qatar Grand Prix,Lusail,Qatar,1
2023,18,United States Grand Prix,Austin,USA,1
2023,19,Mexico City Grand Prix,Mexico City,Mexico,0
2023,20,São Paulo Grand Prix,São Paulo,Brazil,1
2023,21,Las Vegas Grand Prix,Las Vegas,USA,0
2023,22,Abu Dhabi Grand Prix,Abu Dhabi,UAE,0
2024,1,Bahrain Grand Prix,Sakhir,Bahrain,0
2024,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,0
2024,3,Australian Grand Prix,Melbourne,Australia,0
2024,4,Japanese Grand Prix,Suzuka,Japan,0
2024,5,Chinese Grand Prix,Shanghai,China,1
2024,6,Miami Grand Prix,Miami,USA,1
2024,7,Emilia Romagna Grand Prix,Imola,Italy,0
2024,8,Monaco Grand Prix,Monte Carlo,Monaco,0
2024,9,Canadian Grand Prix,Montreal,Canada,0
2024,10,Spanish Grand Prix,Barcelona,Spain,0
2024,11,Austrian Grand Prix,Spielberg,Austria,1
2024,12,British Grand Prix,Silverstone,UK,0
2024,13,Hungarian Grand Prix,Budapest,Hungary,0
2024,14,Belgian Grand Prix,Spa,Belgium,0
2024,15,Dutch Grand Prix,Zandvoort,Netherlands,0
2024,16,Italian Grand Prix,Monza,Italy,0
2024,17,Azerbaijan Grand Prix,Baku,Azerbaijan,0
2024,18,Singapore Grand Prix,Marina Bay,Singapore,0
2024,19,United States Grand Prix,Austin,USA,1
2024,20,Mexico City Grand Prix,Mexico City,Mexico,0
2024,21,São Paulo Grand Prix,São Paulo,Brazil,1
2024,22,Las Vegas Grand Prix,Las Vegas,USA,0
2024,23,Qatar Grand Prix,Lusail,Qatar,1
2024,24,Abu Dhabi Grand Prix,Abu Dhabi,UAE,0
